ID,Group,Phase,Response,Time,Angle,Base Angle,Angle Diff
AdMe,Group Long,B,02, 270863, 48,49,-1
AdMe,Group Long,B,02, 271213, 41,49,-8
AdMe,Group Long,B,02, 271613, 30,49,-19
AdMe,Group Long,B,02, 271997, 25,49,-24
AdMe,Group Long,B,01, 273596, 216,49,167
AdMe,Group Long,B,01, 274147, 216,49,167
AdMe,Group Long,B,01, 275513, 231,49,182
AdMe,Group Long,B,01, 275930, 230,49,181
AdMe,Group Long,B,02, 277030, 261,49,212
AdMe,Group Long,B,01, 277463, 247,49,198
AdMe,Group Long,B,02, 278178, 206,49,157
AdMe,Group Long,B,01, 278630, 225,49,176
AdMe,Group Long,B,01, 279679, 230,49,181
AdMe,Group Long,B,01, 279963, 222,49,173
AdMe,Group Long,B,01, 280980, 225,49,176
AdMe,Group Long,B,01, 281314, 226,49,177
AdMe,Group Long,B,01, 282247, 225,49,176
AdMe,Group Long,B,01, 282547, 225,49,176
AdMe,Group Long,B,01, 283547, 223,49,174
AdMe,Group Long,B,01, 283830, 225,49,176
AdMe,Group Long,B,01, 284797, 228,49,179
AdMe,Group Long,B,01, 285081, 227,49,178
AdMe,Group Long,B,01, 286080, 227,49,178
AdMe,Group Long,B,01, 286381, 227,49,178
AdMe,Group Long,B,01, 287363, 225,49,176
AdMe,Group Long,B,01, 287663, 222,49,173
AdMe,Group Long,B,01, 288613, 220,49,171
AdMe,Group Long,B,01, 288897, 227,49,178
AdMe,Group Long,B,01, 289880, 231,49,182
AdMe,Group Long,B,01, 290145, 222,49,173
AdMe,Group Long,B,01, 291231, 223,49,174
AdMe,Group Long,B,01, 291998, 224,49,175
AdMe,Group Long,B,01, 293131, 223,49,174
AdMe,Group Long,B,01, 293448, 226,49,177
AdMe,Group Long,B,01, 295498, 221,49,172
AdMe,Group Long,B,01, 295766, 215,49,166
AdMe,Group Long,B,01, 296798, 229,49,180
AdMe,Group Long,B,01, 297098, 220,49,171
AdMe,Group Long,B,01, 298115, 222,49,173
AdMe,Group Long,B,01, 298415, 223,49,174
AdMe,Group Long,B,01, 299431, 228,49,179
AdMe,Group Long,B,01, 299731, 227,49,178
AdMe,Group Long,B,01, 300631, 221,49,172
AdMe,Group Long,B,01, 300947, 234,49,185
AdMe,Group Long,B,01, 301864, 228,49,179
AdMe,Group Long,B,01, 302131, 225,49,176
AdMe,Group Long,B,01, 302998, 241,49,192
AdMe,Group Long,B,01, 303264, 224,49,175
AdMe,Group Long,B,01, 304198, 229,49,180
AdMe,Group Long,B,01, 304464, 228,49,179
AdMe,Group Long,B,01, 305448, 230,49,181
AdMe,Group Long,B,01, 305732, 229,49,180
AdMe,Group Long,B,01, 306765, 237,49,188
AdMe,Group Long,B,01, 307032, 226,49,177
AdMe,Group Long,B,01, 308065, 219,49,170
AdMe,Group Long,B,01, 309349, 222,49,173
AdMe,Group Long,B,01, 310532, 224,49,175
AdMe,Group Long,B,01, 310899, 226,49,177
AdMe,Group Long,B,01, 311932, 217,49,168
AdMe,Group Long,B,01, 312282, 222,49,173
AdMe,Group Long,B,01, 313282, 218,49,169
AdMe,Group Long,B,01, 313649, 225,49,176
AdMe,Group Long,B,01, 314649, 219,49,170
AdMe,Group Long,B,01, 314949, 220,49,171
AdMe,Group Long,B,01, 315915, 222,49,173
AdMe,Group Long,B,01, 316249, 221,49,172
AdMe,Group Long,B,01, 317232, 229,49,180
AdMe,Group Long,B,01, 317532, 220,49,171
AdMe,Group Long,B,01, 318465, 232,49,183
AdMe,Group Long,B,01, 318765, 221,49,172
AdMe,Group Long,B,01, 319782, 226,49,177
AdMe,Group Long,B,01, 320099, 227,49,178
AdMe,Group Long,B,01, 321083, 230,49,181
AdMe,Group Long,B,01, 321399, 227,49,178
AdMe,Group Long,B,01, 322316, 230,49,181
AdMe,Group Long,B,01, 322616, 225,49,176
AdMe,Group Long,B,01, 323599, 221,49,172
AdMe,Group Long,B,01, 323883, 228,49,179
AdMe,Group Long,B,01, 324783, 228,49,179
AdMe,Group Long,B,01, 325083, 227,49,178
AdMe,Group Long,B,01, 325983, 227,49,178
AdMe,Group Long,B,01, 326266, 222,49,173
AdMe,Group Long,B,01, 327266, 227,49,178
AdMe,Group Long,B,01, 327600, 226,49,177
AdMe,Group Long,B,01, 328599, 224,49,175
AdMe,Group Long,B,01, 328899, 221,49,172
AdMe,Group Long,B,01, 329900, 221,49,172
AdMe,Group Long,B,01, 330250, 233,49,184
AdMe,Group Long,B,01, 331183, 231,49,182
AdMe,Group Long,B,01, 331466, 230,49,181
AdMe,Group Long,B,01, 332433, 230,49,181
AdMe,Group Long,B,01, 332717, 224,49,175
AdMe,Group Long,B,01, 333700, 226,49,177
AdMe,Group Long,B,01, 334000, 227,49,178
AdMe,Group Long,B,01, 334933, 224,49,175
AdMe,Group Long,B,01, 335217, 227,49,178
AdMe,Group Long,B,01, 336133, 233,49,184
AdMe,Group Long,B,01, 336450, 231,49,182
AdMe,Group Long,B,01, 337417, 230,49,181
AdMe,Group Long,B,01, 337750, 233,49,184
AdMe,Group Long,B,01, 338650, 226,49,177
AdMe,Group Long,B,01, 338950, 230,49,181
AdMe,Group Long,B,01, 339933, 227,49,178
AdMe,Group Long,B,01, 340217, 234,49,185
AdMe,Group Long,B,01, 341167, 226,49,177
AdMe,Group Long,B,01, 341467, 232,49,183
AdMe,Group Long,B,01, 342417, 231,49,182
AdMe,Group Long,B,01, 342700, 230,49,181
AdMe,Group Long,B,01, 343700, 232,49,183
AdMe,Group Long,B,01, 343967, 226,49,177
AdMe,Group Long,B,01, 344917, 232,49,183
AdMe,Group Long,B,01, 345234, 241,49,192
AdMe,Group Long,B,01, 346251, 237,49,188
AdMe,Group Long,B,01, 346601, 236,49,187
AdMe,Group Long,B,01, 347617, 229,49,180
AdMe,Group Long,B,01, 347917, 230,49,181
AdMe,Group Long,B,01, 349001, 235,49,186
AdMe,Group Long,B,01, 349301, 232,49,183
AdMe,Group Long,B,01, 350467, 233,49,184
AdMe,Group Long,B,01, 350801, 237,49,188
AdMe,Group Long,B,01, 351884, 232,49,183
AdMe,Group Long,B,01, 352184, 233,49,184
AdMe,Group Long,B,01, 353134, 228,49,179
AdMe,Group Long,B,01, 353451, 229,49,180
AdMe,Group Long,B,01, 354400, 233,49,184
AdMe,Group Long,B,01, 354683, 228,49,179
AdMe,Group Long,B,01, 355584, 231,49,182
AdMe,Group Long,B,01, 355885, 232,49,183
AdMe,Group Long,B,01, 356800, 236,49,187
AdMe,Group Long,B,01, 357067, 226,49,177
AdMe,Group Long,B,01, 358017, 231,49,182
AdMe,Group Long,B,01, 358301, 225,49,176
AdMe,Group Long,B,01, 359285, 228,49,179
AdMe,Group Long,B,01, 359585, 234,49,185
AdMe,Group Long,B,01, 360435, 231,49,182
AdMe,Group Long,B,01, 360702, 228,49,179
AdMe,Group Long,B,01, 361618, 234,49,185
AdMe,Group Long,B,01, 361918, 229,49,180
AdMe,Group Long,B,01, 362852, 231,49,182
AdMe,Group Long,B,01, 363152, 233,49,184
